mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Tcl Freight,heavy_truck,diesel,208,10000.0,2000.0,57.02,Moderate,5,6,BS-VI,2.602,,,80.038,0.2,168.08
Road,Tcl Freight,heavy_truck,diesel,222,10000.0,9000.0,38.02,Heavy,7,3,BS-VI,2.296,,,96.873,0.9,203.433
Road,Tcl Freight,heavy_truck,diesel,118,8000.0,1600.0,43.7,Moderate,10,6,BS-III,3.744,,,31.704,0.2,76.09
Road,Tcl Freight,heavy_truck,diesel,174,14000.0,2800.0,40.33,Moderate,3,8,BS-VI,2.843,,,61.442,0.2,129.028
Road,Tcl Freight,heavy_truck,diesel,249,8000.0,6000.0,43.99,Moderate,7,7,BS-III,3.295,,,75.815,0.75,181.956
Road,Tcl Freight,heavy_truck,diesel,206,8000.0,6560.0,49.9,Moderate,10,11,BS-VI,2.002,,,103.092,0.82,216.493
Road,Tcl Freight,heavy_truck,diesel,156,10000.0,7100.0,49.43,Heavy,6,3,BS-III,2.384,,,65.705,0.71,157.692
Road,Tcl Freight,heavy_truck,diesel,291,14000.0,12600.0,59.94,Moderate,9,3,BS-VI,2.462,,,118.562,0.9,248.98
Road,Tcl Freight,heavy_truck,diesel,112,12000.0,2400.0,52.01,Moderate,5,4,BS-VI,3.029,,,36.996,0.2,77.692
Road,Tcl Freight,heavy_truck,diesel,194,14000.0,10500.0,50.19,Moderate,5,12,BS-VI,2.365,,,82.203,0.75,172.626
Road,Tcl Freight,heavy_truck,diesel,182,8000.0,1600.0,38.11,Moderate,3,5,BS-IV,2.258,,,80.766,0.2,185.762
Rail,Concor,train,diesel,516,1117696.0,632911.0,48.0,Low,9,15,N/A,3.4,,,151.76,0.57,406.72
Rail,Concor,train,diesel,740,1155618.0,756717.0,42.0,Low,10,13,N/A,2.95,,,250.85,0.65,672.28
Rail,Concor,train,diesel,373,1074568.0,607457.0,32.0,Low,7,7,N/A,4.24,,,87.97,0.57,235.76
Rail,Concor,train,diesel,612,1823435.0,1328781.0,59.0,Moderate,4,5,N/A,3.45,,,177.39,0.73,475.41
Rail,Concor,train,diesel,778,1277445.0,1123430.0,31.0,Heavy,3,11,N/A,3.59,,,216.71,0.88,580.78
Rail,Concor,train,diesel,644,1314365.0,1173977.0,52.0,Low,7,11,N/A,4.1,,,157.07,0.89,420.95
Rail,Concor,train,diesel,392,1470130.0,642884.0,38.0,Moderate,7,10,N/A,3.06,,,128.1,0.44,343.31
Rail,Concor,train,diesel,533,1948920.0,926199.0,34.0,Moderate,10,23,N/A,3.41,,,156.3,0.48,418.88
Rail,Concor,train,diesel,460,1341813.0,570031.0,58.0,Heavy,3,24,N/A,2.89,,,159.17,0.42,426.58
Rail,Concor,train,diesel,438,1421935.0,722661.0,40.0,Heavy,3,25,N/A,2.21,,,198.19,0.51,531.15
Rail,Concor,train,diesel,727,1609887.0,1223687.0,39.0,Moderate,8,15,N/A,3.23,,,225.08,0.76,603.21
Rail,Concor,train,diesel,533,1697092.0,1278300.0,30.0,Moderate,4,9,N/A,3.98,,,133.92,0.75,358.91
Rail,Concor,train,diesel,309,1974951.0,1460780.0,57.0,Heavy,8,12,N/A,3.01,,,102.66,0.74,275.13
Rail,Concor,train,diesel,492,1586652.0,734034.0,57.0,Moderate,10,25,N/A,2.68,,,183.58,0.46,491.99
Rail,Concor,train,diesel,792,1511774.0,820106.0,39.0,Low,7,19,N/A,3.74,,,211.76,0.54,567.52
Rail,Concor,train,diesel,490,1651219.0,943010.0,59.0,Moderate,5,18,N/A,2.86,,,171.33,0.57,459.16
Rail,Concor,train,diesel,361,1174624.0,986501.0,58.0,Heavy,8,16,N/A,2.77,,,130.32,0.84,349.26
Rail,Concor,train,diesel,746,1731002.0,1114620.0,41.0,Heavy,4,23,N/A,2.56,,,291.41,0.64,780.98
Rail,Concor,train,diesel,338,1523401.0,1275260.0,59.0,Heavy,3,20,N/A,2.49,,,135.74,0.84,363.78
Rail,Concor,train,diesel,780,1882834.0,1406486.0,32.0,Moderate,9,25,N/A,2.81,,,277.58,0.75,743.91
Rail,Concor,train,diesel,568,1393150.0,761055.0,33.0,Moderate,10,25,N/A,2.41,,,235.68,0.55,631.62
Rail,Concor,train,diesel,302,1678130.0,1494238.0,34.0,Low,6,20,N/A,2.81,,,107.47,0.89,288.02
Rail,Concor,train,diesel,761,1415075.0,899687.0,42.0,Moderate,9,21,N/A,2.78,,,273.74,0.64,733.62
Rail,Concor,train,diesel,421,1131831.0,693444.0,45.0,Moderate,9,14,N/A,2.78,,,151.44,0.61,405.86
Rail,Concor,train,diesel,393,1069272.0,953219.0,30.0,Low,3,12,N/A,3.91,,,100.51,0.89,269.37
Rail,Concor,train,diesel,455,1805033.0,829368.0,34.0,Low,3,13,N/A,3.46,,,131.5,0.46,352.42
Rail,Concor,train,diesel,573,1058331.0,609828.0,47.0,Low,8,8,N/A,3.51,,,163.25,0.58,437.51
Rail,Concor,train,diesel,309,1857510.0,1647793.0,39.0,Moderate,9,15,N/A,3.61,,,85.6,0.89,229.41
Rail,Concor,train,diesel,700,1836459.0,1322323.0,43.0,Heavy,3,16,N/A,3.07,,,228.01,0.72,611.07
Rail,Concor,train,diesel,351,1494130.0,1067151.0,48.0,Moderate,8,18,N/A,2.98,,,117.79,0.71,315.68
Rail,Concor,train,electric,184,50000.0,43646.3,53.33,Low,7,17,Electric,,0.04338,7.9837,,0.8729,6.5466
Rail,Concor,train,electric,371,50000.0,26890.72,56.86,Moderate,4,5,Electric,,0.0339,12.5945,,0.5378,10.3275
Rail,Concor,train,electric,433,50000.0,46662.33,58.88,Low,6,23,Electric,,0.04422,19.1729,,0.9332,15.7218
Rail,Concor,train,electric,738,50000.0,40846.3,46.31,Low,5,13,Electric,,0.04196,30.9879,,0.8169,25.4101
Rail,Concor,train,electric,322,50000.0,43641.86,57.17,Moderate,4,19,Electric,,0.0469,15.1234,,0.8728,12.4012
Rail,Concor,train,electric,517,70000.0,31983.1,84.65,Heavy,9,13,Electric,,0.0462,23.8914,,0.4569,19.5909
Rail,Concor,train,electric,564,90000.0,84559.88,64.31,Heavy,7,11,Electric,,0.0443,25.0264,,0.9396,20.5216
Rail,Concor,train,electric,700,60000.0,50952.32,44.13,Moderate,5,5,Electric,,0.0382,26.7694,,0.8492,21.9509
Rail,Concor,train,electric,510,50000.0,42385.62,59.38,Moderate,1,6,Electric,,0.04154,21.195,,0.8477,17.3799
Rail,Concor,train,electric,690,70000.0,31993.92,57.6,Low,7,17,Electric,,0.04184,28.8922,,0.4571,23.6916
Rail,Concor,train,electric,685,50000.0,40067.02,89.59,Heavy,4,17,Electric,,0.04575,31.3689,,0.8013,25.7225
Rail,Concor,train,electric,265,90000.0,62502.75,77.58,Low,1,4,Electric,,0.03732,9.9058,,0.6945,8.1228
Rail,Concor,train,electric,163,70000.0,57871.21,87.73,Heavy,7,0,Electric,,0.03564,5.8328,,0.8267,4.7829
Rail,Concor,train,electric,190,70000.0,58721.52,44.15,Low,9,12,Electric,,0.03581,6.829,,0.8389,5.5998
Rail,Concor,train,electric,601,80000.0,37282.02,56.12,Moderate,1,24,Electric,,0.04685,28.1676,,0.466,23.0974
Rail,Concor,train,electric,419,50000.0,40076.02,88.48,Moderate,2,22,Electric,,0.05087,21.3222,,0.8015,17.4842
Rail,Concor,train,electric,243,60000.0,51555.76,81.24,Heavy,1,24,Electric,,0.04885,11.8994,,0.8593,9.7575
Rail,Concor,train,electric,499,60000.0,57152.83,78.62,Moderate,7,11,Electric,,0.03796,18.9572,,0.9525,15.5449
Rail,Concor,train,electric,783,90000.0,46418.53,48.34,Heavy,7,13,Electric,,0.03851,30.1803,,0.5158,24.7478
Rail,Concor,train,electric,238,50000.0,32112.34,83.55,Heavy,8,9,Electric,,0.04204,10.0228,,0.6422,8.2187
Rail,Concor,train,electric,653,60000.0,44212.5,83.57,Heavy,9,4,Electric,,0.03944,25.7665,,0.7369,21.1285
Rail,Concor,train,electric,218,70000.0,40158.81,68.51,Low,5,16,Electric,,0.03862,8.4234,,0.5737,6.9072
Rail,Concor,train,electric,726,70000.0,46829.55,86.91,Low,4,16,Electric,,0.03831,27.8215,,0.669,22.8136
Rail,Concor,train,electric,796,50000.0,27839.49,68.23,Low,10,10,Electric,,0.03483,27.7567,,0.5568,22.7605
Rail,Concor,train,electric,510,60000.0,57669.35,80.45,Heavy,3,25,Electric,,0.05473,27.9369,,0.9612,22.9083
Rail,Concor,train,electric,469,80000.0,70186.0,52.84,Heavy,8,10,Electric,,0.04246,19.9558,,0.8773,16.3638
Rail,Concor,train,electric,295,90000.0,86285.47,70.49,Low,10,19,Electric,,0.04936,14.5958,,0.9587,11.9686
Rail,Concor,train,electric,373,90000.0,46554.66,42.62,Moderate,6,21,Electric,,0.04975,18.5672,,0.5173,15.2251
Rail,Concor,train,electric,355,60000.0,52419.44,57.15,Low,3,12,Electric,,0.04651,16.5148,,0.8737,13.5421
Rail,Concor,train,electric,190,80000.0,52514.74,53.27,Low,9,12,Electric,,0.03897,7.4273,,0.6564,6.0904
Rail,Concor,train,electric,500,3000.0,26890.72,56.86,Moderate,4,5,Electric,,0.0339,12.5945,,0.5378,10.3275
Rail,Concor,train,electric,800,10000.0,46662.33,58.88,Low,6,23,Electric,,0.04422,19.1729,,0.9332,15.7218
Rail,Concor,train,electric,700,60000.0,40846.3,46.31,Low,5,13,Electric,,0.04196,30.9879,,0.8169,25.4101
Rail,Concor,train,electric,13,50000.0,43641.86,57.17,Moderate,4,19,Electric,,0.0469,15.1234,,0.8728,12.4012
Rail,Concor,train,electric,450,80000.0,31983.1,84.65,Heavy,9,13,Electric,,0.0462,23.8914,,0.4569,19.5909
Rail,Concor,train,electric,1000,90000.0,84559.88,64.31,Heavy,7,11,Electric,,0.0443,25.0264,,0.9396,20.5216
Rail,Concor,train,electric,800,78000.0,50952.32,44.13,Moderate,5,5,Electric,,0.0382,26.7694,,0.8492,21.9509
Rail,Concor,train,electric,600,60000.0,42385.62,59.38,Moderate,1,6,Electric,,0.04154,21.195,,0.8477,17.3799
Rail,Concor,train,electric,230,70000.0,31993.92,57.6,Low,7,17,Electric,,0.04184,28.8922,,0.4571,23.6916
Rail,Concor,train,electric,890,78900.0,40067.02,89.59,Heavy,4,17,Electric,,0.04575,31.3689,,0.8013,25.7225
Rail,Concor,train,electric,265,45670.0,62502.75,77.58,Low,1,4,Electric,,0.03732,9.9058,,0.6945,8.1228
Rail,Concor,train,electric,467,45000.0,57871.21,87.73,Heavy,7,0,Electric,,0.03564,5.8328,,0.8267,4.7829
Rail,Concor,train,electric,890,32100.0,58721.52,44.15,Low,9,12,Electric,,0.03581,6.829,,0.8389,5.5998
Rail,Concor,train,electric,78,1230.0,37282.02,56.12,Moderate,1,24,Electric,,0.04685,28.1676,,0.466,23.0974
Rail,Concor,train,electric,679,6700.0,40076.02,88.48,Moderate,2,22,Electric,,0.05087,21.3222,,0.8015,17.4842
Rail,Concor,train,electric,543,60000.0,51555.76,81.24,Heavy,1,24,Electric,,0.04885,11.8994,,0.8593,9.7575
Rail,Concor,train,electric,789,67890.0,57152.83,78.62,Moderate,7,11,Electric,,0.03796,18.9572,,0.9525,15.5449
Rail,Concor,train,electric,312,87900.0,46418.53,48.34,Heavy,7,13,Electric,,0.03851,30.1803,,0.5158,24.7478
Rail,Concor,train,electric,111,23450.0,32112.34,83.55,Heavy,8,9,Electric,,0.04204,10.0228,,0.6422,8.2187
Rail,Concor,train,electric,234,60000.0,44212.5,83.57,Heavy,9,4,Electric,,0.03944,25.7665,,0.7369,21.1285
Rail,Concor,train,electric,654,7890.0,40158.81,68.51,Low,5,16,Electric,,0.03862,8.4234,,0.5737,6.9072
Rail,Concor,train,electric,890,6700.0,46829.55,86.91,Low,4,16,Electric,,0.03831,27.8215,,0.669,22.8136
Rail,Concor,train,electric,654,50000.0,27839.49,68.23,Low,10,10,Electric,,0.03483,27.7567,,0.5568,22.7605
Rail,Concor,train,electric,345,65440.0,57669.35,80.45,Heavy,3,25,Electric,,0.05473,27.9369,,0.9612,22.9083
Rail,Concor,train,electric,900,80000.0,70186.0,52.84,Heavy,8,10,Electric,,0.04246,19.9558,,0.8773,16.3638
Rail,Concor,train,electric,678,90000.0,86285.47,70.49,Low,10,19,Electric,,0.04936,14.5958,,0.9587,11.9686
Rail,Concor,train,electric,435,65779.0,46554.66,42.62,Moderate,6,21,Electric,,0.04975,18.5672,,0.5173,15.2251
Rail,Concor,train,electric,320,60000.0,52419.44,57.15,Low,3,12,Electric,,0.04651,16.5148,,0.8737,13.5421
Rail,Concor,train,electric,789,80000.0,52514.74,53.27,Low,9,12,Electric,,0.03897,7.4273,,0.6564,6.0904
Rail,Gateway Rail Freight,train,diesel,450,1897092.0,1376218.0,54.0,Moderate,9,14,N/A,3.67,,,163.22,0.73,437.43
Rail,Gateway Rail Freight,train,diesel,789,1117326.0,758923.0,44.0,Low,6,17,N/A,2.93,,,263.48,0.68,706.13
Rail,Gateway Rail Freight,train,diesel,34,1932883.0,1541490.0,38.0,Low,8,6,N/A,3.99,,,189.97,0.8,509.12
Rail,Gateway Rail Freight,train,diesel,78,1807751.0,1007411.0,32.0,Low,3,10,N/A,3.53,,,168.56,0.56,451.74
Rail,Gateway Rail Freight,train,diesel,450,1743873.0,717782.0,58.0,Low,6,24,N/A,2.96,,,259.12,0.41,694.44
Rail,Gateway Rail Freight,train,diesel,234,1300985.0,1152508.0,52.0,Heavy,6,20,N/A,2.49,,,167.07,0.89,447.75
Rail,Gateway Rail Freight,train,diesel,789,1815167.0,926017.0,56.0,Moderate,4,25,N/A,2.87,,,154.36,0.51,413.68
Rail,Gateway Rail Freight,train,diesel,450,1640573.0,1001686.0,53.0,Low,4,25,N/A,3.14,,,101.91,0.61,273.12
Rail,Gateway Rail Freight,train,diesel,345,1827508.0,1126624.0,35.0,Heavy,4,14,N/A,3.17,,,218.93,0.62,586.73
Rail,Gateway Rail Freight,train,diesel,234,1128811.0,634314.0,38.0,Moderate,10,6,N/A,4.09,,,78.97,0.56,211.64
Rail,Gateway Rail Freight,train,diesel,789,1903977.0,1246577.0,57.0,Low,5,6,N/A,4.48,,,72.99,0.65,195.61
Rail,Gateway Rail Freight,train,diesel,908,1529569.0,1176654.0,49.0,Low,6,7,N/A,9.0,,,139.71,0.77,374.42
Rail,Gateway Rail Freight,train,diesel,678,1959963.0,795804.0,49.0,Low,6,10,N/A,1.1,,,192.63,0.41,516.25
Rail,Gateway Rail Freight,train,diesel,1000,1997816.0,1526395.0,50.0,Moderate,3,17,N/A,6.78,,,131.9,0.76,353.49
Rail,Gateway Rail Freight,train,diesel,789,1981766.0,1750859.0,36.0,Heavy,3,7,N/A,2.3,,,158.14,0.88,423.82
Rail,Gateway Rail Freight,train,diesel,900,1501270.0,941987.0,48.0,Low,10,19,N/A,1.1,,,84.57,0.63,226.65
Rail,Gateway Rail Freight,train,diesel,318,1527965.0,1161355.0,53.0,Moderate,5,13,N/A,2.6,,,84.35,0.76,226.06
Rail,Gateway Rail Freight,train,diesel,511,1878746.0,752284.0,49.0,Heavy,8,12,N/A,4.23,,,180.57,0.4,483.93
Rail,Gateway Rail Freight,train,diesel,345,1563873.0,706479.0,60.0,Heavy,10,8,N/A,4.5,,,106.31,0.45,284.91
Rail,Gateway Rail Freight,train,diesel,532,1949970.0,1160772.0,51.0,Heavy,4,21,N/A,8.9,,,214.52,0.6,574.91
Rail,Gateway Rail Freight,train,diesel,678,1319084.0,1000199.0,34.0,Low,3,22,N/A,2.34,,,103.93,0.76,278.53
Rail,Gateway Rail Freight,train,diesel,551,1070127.0,532662.0,36.0,Moderate,8,17,N/A,3.67,,,184.9,0.5,495.53
Rail,Gateway Rail Freight,train,diesel,349,1613704.0,650658.0,46.0,Low,4,15,N/A,3.53,,,156.66,0.4,419.85
Rail,Gateway Rail Freight,train,diesel,345,1897092.0,1376218.0,54.0,Moderate,9,14,N/A,3.67,,,163.22,0.73,437.43
Rail,Gateway Rail Freight,train,diesel,111,1117326.0,758923.0,44.0,Low,6,17,N/A,1.23,,,263.48,0.68,706.13
Rail,Gateway Rail Freight,train,diesel,12,1932883.0,1541490.0,38.0,Low,8,6,N/A,4.3,,,189.97,0.8,509.12
Rail,Gateway Rail Freight,train,diesel,1234,1807751.0,1007411.0,32.0,Low,3,10,N/A,3.53,,,168.56,0.56,451.74
Rail,Gateway Rail Freight,train,diesel,890,1743873.0,717782.0,58.0,Low,6,24,N/A,4.56,,,259.12,0.41,694.44
Rail,Gateway Rail Freight,train,diesel,890,1300985.0,1152508.0,52.0,Heavy,6,20,N/A,1.22,,,167.07,0.89,447.75
Rail,Gateway Rail Freight,train,diesel,546,1815167.0,926017.0,56.0,Moderate,4,25,N/A,1.11,,,154.36,0.51,413.68
Rail,Gateway Rail Freight,train,diesel,387,1640573.0,1001686.0,53.0,Low,4,25,N/A,2.3,,,101.91,0.61,273.12
Rail,Gateway Rail Freight,train,diesel,838,1827508.0,1126624.0,35.0,Heavy,4,14,N/A,3.17,,,218.93,0.62,586.73
Rail,Gateway Rail Freight,train,diesel,983,1128811.0,634314.0,38.0,Moderate,10,6,N/A,4.09,,,78.97,0.56,211.64
Rail,Gateway Rail Freight,train,diesel,298,1903977.0,1246577.0,57.0,Low,5,6,N/A,4.48,,,72.99,0.65,195.61
Rail,Gateway Rail Freight,train,diesel,39,1529569.0,1176654.0,49.0,Low,6,7,N/A,4.13,,,139.71,0.77,374.42
Rail,Gateway Rail Freight,train,diesel,732,1959963.0,795804.0,49.0,Low,6,10,N/A,3.8,,,192.63,0.41,516.25
Rail,Gateway Rail Freight,train,diesel,430,1997816.0,1526395.0,50.0,Moderate,3,17,N/A,3.26,,,131.9,0.76,353.49
Rail,Gateway Rail Freight,train,diesel,612,1981766.0,1750859.0,36.0,Heavy,3,7,N/A,3.87,,,158.14,0.88,423.82
Rail,Gateway Rail Freight,train,diesel,307,1501270.0,941987.0,48.0,Low,10,19,N/A,3.63,,,84.57,0.63,226.65
Rail,Gateway Rail Freight,train,diesel,318,1527965.0,1161355.0,53.0,Moderate,5,13,N/A,3.77,,,84.35,0.76,226.06
Rail,Gateway Rail Freight,train,diesel,511,1878746.0,752284.0,49.0,Heavy,8,12,N/A,2.83,,,180.57,0.4,483.93
Rail,Gateway Rail Freight,train,diesel,421,1563873.0,706479.0,60.0,Heavy,10,8,N/A,3.96,,,106.31,0.45,284.91
Rail,Gateway Rail Freight,train,diesel,532,1949970.0,1160772.0,51.0,Heavy,4,21,N/A,2.48,,,214.52,0.6,574.91
Rail,Gateway Rail Freight,train,diesel,344,1319084.0,1000199.0,34.0,Low,3,22,N/A,3.31,,,103.93,0.76,278.53
Rail,Gateway Rail Freight,train,diesel,551,1070127.0,532662.0,36.0,Moderate,8,17,N/A,2.98,,,184.9,0.5,495.53
Rail,Gateway Rail Freight,train,diesel,553,1613704.0,650658.0,46.0,Low,4,15,N/A,3.53,,,156.66,0.4,419.85
Rail,Gateway Rail Freight,train,diesel,327,1164789.0,497010.0,60.0,Low,3,8,N/A,3.24,,,100.93,0.43,270.49
Rail,Gateway Rail Freight,train,diesel,644,1999344.0,1638977.0,42.0,Heavy,3,15,N/A,3.18,,,202.52,0.82,542.75
Rail,Gateway Rail Freight,train,diesel,507,1216635.0,639320.0,37.0,Low,5,17,N/A,3.8,,,133.42,0.53,357.57
Rail,Gateway Rail Freight,train,diesel,703,1006292.0,654686.0,51.0,Heavy,7,21,N/A,2.74,,,256.57,0.65,687.61
Rail,Gateway Rail Freight,train,diesel,790,1307923.0,807912.0,60.0,Heavy,8,7,N/A,3.26,,,242.33,0.62,649.44
Rail,Gateway Rail Freight,train,diesel,496,1168736.0,547068.0,36.0,Low,7,20,N/A,3.5,,,141.71,0.47,379.78
Rail,Gateway Rail Freight,train,diesel,717,1533514.0,627820.0,60.0,Low,7,14,N/A,3.03,,,236.63,0.41,634.17
Rail,Gateway Rail Freight,train,diesel,586,1129234.0,953876.0,47.0,Moderate,4,16,N/A,3.59,,,163.23,0.84,437.46
Rail,Gateway Rail Freight,train,electric,749,50000.0,47475.85,65.14,Heavy,6,1,Electric,,0.04581,34.3158,,0.9495,28.139
Rail,Gateway Rail Freight,train,electric,183,80000.0,49134.62,63.28,Heavy,6,7,Electric,,0.04395,8.0666,,0.6142,6.6146
Rail,Gateway Rail Freight,train,electric,322,80000.0,60761.73,57.2,Heavy,8,16,Electric,,0.04649,15.0088,,0.7595,12.3072
Rail,Gateway Rail Freight,train,electric,749,70000.0,68261.9,49.11,Low,7,21,Electric,,0.04425,33.1862,,0.9752,27.2127
Rail,Gateway Rail Freight,train,electric,235,90000.0,42616.62,89.91,Low,6,11,Electric,,0.0442,10.4193,,0.4735,8.5438
Rail,Gateway Rail Freight,train,electric,293,50000.0,35243.67,84.98,Heavy,5,22,Electric,,0.04866,14.2846,,0.7049,11.7134
Rail,Gateway Rail Freight,train,electric,787,70000.0,59599.01,51.38,Low,5,9,Electric,,0.03605,28.402,,0.8514,23.2896
Rail,Gateway Rail Freight,train,electric,420,80000.0,37909.88,40.65,Heavy,3,6,Electric,,0.03618,15.2115,,0.4739,12.4734
Rail,Gateway Rail Freight,train,electric,491,90000.0,82062.1,55.14,Moderate,4,9,Electric,,0.04203,20.6409,,0.9118,16.9255
Rail,Gateway Rail Freight,train,electric,217,90000.0,67475.59,53.96,Low,9,2,Electric,,0.03864,8.3887,,0.7497,6.8787
Rail,Gateway Rail Freight,train,electric,405,80000.0,40881.71,68.5,Heavy,7,16,Electric,,0.04329,17.5346,,0.511,14.3784
Rail,Gateway Rail Freight,train,electric,470,60000.0,57677.15,88.85,Low,4,6,Electric,,0.03418,16.0848,,0.9613,13.1895
Rail,Gateway Rail Freight,train,electric,752,50000.0,33836.14,56.1,Low,1,7,Electric,,0.04131,31.0916,,0.6767,25.4951
Rail,Gateway Rail Freight,train,electric,721,80000.0,66748.32,86.36,Moderate,2,9,Electric,,0.04354,31.4115,,0.8344,25.7574
Rail,Gateway Rail Freight,train,electric,684,60000.0,44011.34,77.43,Low,8,7,Electric,,0.03788,25.9164,,0.7335,21.2514
Rail,Gateway Rail Freight,train,electric,481,80000.0,53189.63,49.45,Low,8,1,Electric,,0.03444,16.5953,,0.6649,13.6081
Rail,Gateway Rail Freight,train,electric,459,50000.0,25964.42,63.01,Moderate,9,19,Electric,,0.03832,17.5954,,0.5193,14.4282
Rail,Gateway Rail Freight,train,electric,488,70000.0,45467.53,59.53,Low,2,16,Electric,,0.04581,22.3814,,0.6495,18.3527
Rail,Gateway Rail Freight,train,electric,639,90000.0,73389.54,76.81,Heavy,4,12,Electric,,0.04024,25.7319,,0.8154,21.1002
Rail,Adani Logistics,train,diesel,320,1241185.0,898892.0,37.0,Moderate,9,22,N/A,2.62,,,122.14,0.72,327.34
Rail,Adani Logistics,train,diesel,432,1441211.0,1027756.0,58.0,Moderate,9,20,N/A,2.81,,,153.74,0.71,412.02
Rail,Adani Logistics,train,diesel,714,1774076.0,1329317.0,51.0,Heavy,4,23,N/A,2.75,,,259.64,0.75,695.84
Rail,Adani Logistics,train,diesel,639,1401419.0,680012.0,46.0,Moderate,7,19,N/A,2.79,,,229.03,0.49,613.8
Rail,Adani Logistics,train,diesel,562,1031209.0,794490.0,40.0,Heavy,8,19,N/A,2.57,,,218.68,0.77,586.06
Rail,Adani Logistics,train,diesel,696,1559065.0,640084.0,41.0,Moderate,9,18,N/A,2.94,,,236.73,0.41,634.44
Rail,Adani Logistics,train,diesel,458,1320647.0,1090205.0,46.0,Moderate,6,25,N/A,2.98,,,153.69,0.83,411.89
Rail,Adani Logistics,train,diesel,357,1558885.0,848524.0,50.0,Moderate,5,10,N/A,3.93,,,90.84,0.54,243.45
Rail,Adani Logistics,train,diesel,353,1556175.0,1227553.0,37.0,Heavy,10,7,N/A,3.47,,,101.73,0.79,272.64
Rail,Adani Logistics,train,diesel,657,1925453.0,1274264.0,60.0,Low,3,14,N/A,3.35,,,196.12,0.66,525.6
Rail,Adani Logistics,train,diesel,657,1681159.0,697235.0,30.0,Low,4,19,N/A,3.64,,,180.49,0.41,483.71
Rail,Adani Logistics,train,diesel,300,1035684.0,801225.0,56.0,Low,9,16,N/A,3.51,,,85.47,0.77,229.06
Rail,Adani Logistics,train,diesel,629,1084406.0,877212.0,56.0,Heavy,8,21,N/A,2.3,,,273.48,0.81,732.93
Rail,Adani Logistics,train,diesel,354,1726513.0,1412772.0,32.0,Heavy,4,12,N/A,3.39,,,104.42,0.82,279.85
Rail,Adani Logistics,train,diesel,527,1688915.0,852451.0,58.0,Moderate,8,11,N/A,3.64,,,144.78,0.5,388.01
Rail,Adani Logistics,train,diesel,631,1337993.0,1034878.0,43.0,Moderate,9,15,N/A,3.74,,,168.72,0.77,452.17
Rail,Adani Logistics,train,diesel,332,1744621.0,726608.0,55.0,Low,9,20,N/A,2.85,,,116.49,0.42,312.19
Rail,Adani Logistics,train,diesel,623,1288933.0,1014263.0,51.0,Moderate,9,12,N/A,3.37,,,184.87,0.79,495.45
Rail,Adani Logistics,train,diesel,316,1632269.0,886570.0,39.0,Moderate,9,22,N/A,3.38,,,93.49,0.54,250.55
Rail,Adani Logistics,train,diesel,766,1641987.0,1058188.0,41.0,Moderate,5,24,N/A,3.12,,,245.51,0.64,657.97
Rail,Adani Logistics,train,diesel,618,1838298.0,1553019.0,60.0,Heavy,6,18,N/A,3.32,,,186.14,0.84,498.86
Rail,Adani Logistics,train,diesel,374,1356158.0,859095.0,37.0,Low,7,21,N/A,2.99,,,125.08,0.63,335.21
Rail,Adani Logistics,train,diesel,546,1303626.0,1126758.0,37.0,Low,4,10,N/A,3.57,,,152.94,0.86,409.88
Rail,Adani Logistics,train,diesel,788,1309950.0,991724.0,55.0,Moderate,4,9,N/A,3.43,,,229.74,0.76,615.7
Rail,Adani Logistics,train,diesel,696,1736479.0,943347.0,50.0,Heavy,8,24,N/A,2.82,,,246.81,0.54,661.45
Rail,Adani Logistics,train,diesel,489,1021815.0,670100.0,59.0,Heavy,5,25,N/A,2.5,,,195.6,0.66,524.21
Rail,Adani Logistics,train,diesel,757,1001863.0,806303.0,50.0,Moderate,5,6,N/A,3.26,,,232.21,0.8,622.32
Rail,Adani Logistics,train,diesel,400,1801644.0,1019235.0,40.0,Low,6,17,N/A,2.97,,,134.68,0.57,360.94
Rail,Adani Logistics,train,diesel,681,1483139.0,601023.0,56.0,Low,3,23,N/A,2.64,,,257.95,0.41,691.31
Rail,Adani Logistics,train,diesel,600,1102678.0,908337.0,47.0,Heavy,3,21,N/A,2.56,,,234.38,0.82,628.14
Rail,Adani Logistics,train,electric,232,80000.0,42185.19,83.14,Low,2,10,Electric,,0.03422,7.939,,0.5273,6.51
Rail,Adani Logistics,train,electric,245,80000.0,54929.04,50.04,Moderate,1,1,Electric,,0.03459,8.4804,,0.6866,6.9539
Rail,Adani Logistics,train,electric,449,50000.0,26194.07,42.06,Moderate,4,7,Electric,,0.03723,16.7487,,0.5239,13.7339
Rail,Adani Logistics,train,electric,430,60000.0,29950.3,40.48,Moderate,7,11,Electric,,0.04502,19.3744,,0.4992,15.887
Rail,Adani Logistics,train,electric,679,50000.0,37629.58,45.52,Low,5,7,Electric,,0.0348,23.6473,,0.7526,19.3908
Rail,Adani Logistics,train,electric,665,90000.0,84785.67,72.04,Heavy,5,13,Electric,,0.05104,33.9523,,0.9421,27.8409
